enrichment	gene	p-value(ttest)	enrichment(late/early)
deenriched:	Samsn1	0.00142363234253	0.14922999289
deenriched:	Bri3bp	0.00187211706946	0.322686489302
deenriched:	Gm11974	0.0227748997924	0.446982917725
deenriched:	Lpcat4	0.0336436897582	0.231848846316
deenriched:	Slc19a1	0.0094124982668	0.212612098551
deenriched:	Hells	0.0321870161371	0.466674904476
deenriched:	Sigmar1	0.00180406050306	0.345448261964
deenriched:	Cdk6	0.013359802953	0.248266504975
deenriched:	Etv5	0.0329667456829	0.251742981882
deenriched:	Rcbtb2	0.0139738321084	0.196882329635
deenriched:	1700097N02Rik	0.0403870241456	0.0646600628903
deenriched:	Mki67ip	0.028225306464	0.480067394032
deenriched:	Npm3	0.0407857845917	0.437214379379
deenriched:	Gpatch4	0.0174931405643	0.447370594013
deenriched:	Lat	0.0120658346078	0.110798889159
deenriched:	Mettl1	0.0141526510246	0.456501989314
deenriched:	5730408K05Rik	0.0215839144548	0.321918794766
deenriched:	Pdxk	0.048563236158	0.332286335805
deenriched:	St6galnac4	0.00545409656448	0.216072959766
deenriched:	Gcsh	0.0351908504794	0.418143720811
deenriched:	Igsf8	0.0275333894708	0.468972118035
deenriched:	Dnmt3b	0.0232850573216	0.303674007214
